review_text,rating
Great product! Very easy to use and intuitive interface.,5
The app crashes frequently when I try to upload files.,2
Customer service was responsive and helpful.,4
Notifications are overwhelming and hard to manage.,3
"Excellent performance, fast and reliable.",5
Mobile interface is confusing and not user-friendly.,2
Love the integrations with other tools we use.,5
"Sometimes slow to load, especially with large data.",3
"Good overall, but the pricing is a bit high.",4
"Fantastic experience, would highly recommend to others.",5
